日期,款式名称,曝光数,点击数,收藏数,下单数,客单价
2026-05-11,手绘油画,2556,285,77,87,478.7
2026-05-12,猫眼,1045,118,30,34,219.4
2026-05-12,法式精修,2557,312,79,86,387.8
2026-05-12,纯色,941,122,32,45,86.3
2026-05-12,穿戴甲,2889,451,103,128,109.0
2026-05-12,手绘油画,2432,223,58,78,435.5
2026-05-13,猫眼,1270,150,34,54,228.2
2026-05-13,法式精修,2586,313,72,107,372.1
2026-05-13,纯色,915,124,32,49,97.6
2026-05-13,穿戴甲,3769,571,151,165,115.1
2026-05-13,手绘油画,2334,201,53,73,408.6
2026-05-14,猫眼,1087,159,39,38,239.0
2026-05-14,法式精修,2901,288,69,101,359.5
2026-05-14,纯色,958,138,37,45,100.1
2026-05-14,穿戴甲,3454,495,127,135,116.6
2026-05-14,手绘油画,2515,224,52,106,479.5
2026-05-15,猫眼,1055,137,32,44,231.2
2026-05-15,法式精修,3875,510,133,149,354.2
2026-05-15,纯色,1093,175,45,57,95.3
2026-05-15,穿戴甲,3320,470,112,142,112.1
2026-05-15,手绘油画,2632,274,74,99,456.4
2026-05-16,猫眼,1386,196,52,52,247.1
2026-05-16,法式精修,3125,396,96,104,326.2
2026-05-16,纯色,1079,170,44,49,95.0
2026-05-16,穿戴甲,4082,676,181,165,114.1
2026-05-16,手绘油画,2711,261,71,90,437.0
2026-05-17,猫眼,1507,194,48,59,259.8
2026-05-17,法式精修,3020,379,88,98,384.8
2026-05-17,纯色,1387,204,54,61,86.6
2026-05-17,穿戴甲,3761,577,151,164,105.6
2026-05-17,手绘油画,3099,338,77,103,478.4
2026-05-18,猫眼,1073,158,38,39,252.6
2026-05-18,法式精修,2622,342,93,92,340.6
2026-05-18,纯色,1023,164,38,53,93.4
2026-05-18,穿戴甲,3578,507,130,132,110.6
2026-05-18,手绘油画,2323,274,73,67,475.3
2026-05-19,猫眼,1136,159,37,35,242.3
2026-05-19,法式精修,2495,251,68,95,343.1
2026-05-19,纯色,820,136,32,39,86.8
2026-05-19,穿戴甲,2851,363,86,86,121.0
2026-05-19,手绘油画,2195,261,65,65,456.1
2026-05-20,猫眼,1220,153,36,39,246.1
2026-05-20,法式精修,3013,373,89,129,390.6
2026-05-20,纯色,841,131,31,46,90.4
2026-05-20,穿戴甲,3407,543,125,128,112.3
2026-05-20,手绘油画,2566,294,80,102,452.1
2026-05-21,猫眼,1166,167,43,45,219.7
2026-05-21,法式精修,2470,254,61,78,377.3
2026-05-21,纯色,1034,155,41,43,88.3
2026-05-21,穿戴甲,3568,559,147,143,117.8
2026-05-21,手绘油画,2080,175,43,76,464.3
2026-05-22,猫眼,1267,138,32,49,247.1
2026-05-22,法式精修,2791,280,66,107,334.5
2026-05-22,纯色,1063,145,38,58,103.9
2026-05-22,穿戴甲,3782,558,140,138,125.0
2026-05-22,手绘油画,2545,280,67,93,488.8
2026-05-23,猫眼,1550,214,51,60,258.6
2026-05-23,法式精修,3264,440,103,139,381.8
2026-05-23,纯色,1084,175,48,55,100.6
2026-05-23,穿戴甲,4429,711,170,169,120.4
2026-05-23,手绘油画,2832,278,76,81,494.1
2026-05-24,猫眼,1542,197,49,63,227.6
2026-05-24,法式精修,3452,355,92,131,342.4
2026-05-24,纯色,1176,156,36,49,91.4
2026-05-24,穿戴甲,4321,661,156,137,113.9
2026-05-24,手绘油画,3363,332,91,107,435.2
2026-05-25,猫眼,1107,134,31,38,243.3
2026-05-25,法式精修,3001,411,107,121,380.8
2026-05-25,纯色,1015,169,39,41,92.8
2026-05-25,穿戴甲,3558,475,120,106,109.1
2026-05-25,手绘油画,2255,229,53,69,415.9
2026-05-26,猫眼,1075,153,35,44,248.9
2026-05-26,法式精修,2678,355,93,81,362.7
2026-05-26,纯色,1012,156,42,43,102.3
2026-05-26,穿戴甲,3101,492,118,100,122.6
2026-05-26,手绘油画,2451,293,80,71,475.2
2026-05-27,猫眼,1210,140,35,39,240.5
2026-05-27,法式精修,2598,328,75,105,369.8
2026-05-27,纯色,988,127,31,50,102.8
2026-05-27,穿戴甲,3113,411,100,101,116.2
2026-05-27,手绘油画,2592,317,73,110,457.2
2026-05-28,猫眼,1054,116,27,36,263.6
2026-05-28,法式精修,3164,371,84,112,379.1
2026-05-28,纯色,886,144,32,43,98.7
2026-05-28,穿戴甲,3410,515,128,127,112.0
2026-05-28,手绘油画,2221,223,60,65,465.1
2026-05-29,猫眼,1323,179,43,54,263.8
2026-05-29,法式精修,2736,288,75,117,339.2
2026-05-29,纯色,851,142,35,42,104.1
2026-05-29,穿戴甲,2996,486,119,89,117.4
2026-05-29,手绘油画,2134,236,54,81,474.3
2026-05-30,猫眼,1630,182,50,64,233.0
2026-05-30,法式精修,4314,491,115,138,362.2
2026-05-30,纯色,1244,184,48,52,101.4
2026-05-30,穿戴甲,4877,726,199,193,115.6
2026-05-30,手绘油画,3107,309,74,128,412.9
2026-05-31,猫眼,1779,255,59,73,241.7
2026-05-31,法式精修,3687,417,96,113,366.0
2026-05-31,纯色,1394,208,49,73,100.3
2026-05-31,穿戴甲,4444,707,179,178,111.4
2026-05-31,手绘油画,3121,316,83,96,439.8
2026-06-01,猫眼,1876,275,68,73,240.1
2026-06-01,法式精修,4932,532,145,147,340.6
2026-06-01,纯色,1258,180,41,57,98.2
2026-06-01,穿戴甲,4290,566,138,132,114.8
2026-06-01,手绘油画,3052,268,73,92,452.6
2026-06-02,猫眼,1331,146,37,56,217.4
2026-06-02,法式精修,3197,408,105,123,374.2
2026-06-02,纯色,909,122,31,36,95.4
2026-06-02,穿戴甲,3084,435,102,136,103.3
2026-06-02,手绘油画,2194,214,55,78,405.6
2026-06-03,猫眼,1295,189,48,44,248.6
2026-06-03,法式精修,3402,399,96,145,344.8
2026-06-03,纯色,1027,165,42,53,104.0
2026-06-03,穿戴甲,3740,522,135,160,118.8
2026-06-03,手绘油画,2587,255,67,83,481.5
2026-06-04,猫眼,1361,161,39,60,261.6
2026-06-04,法式精修,3397,443,113,138,356.4
2026-06-04,纯色,1077,150,38,59,89.2
2026-06-04,穿戴甲,2927,419,115,103,117.9
2026-06-04,手绘油画,2473,254,57,83,425.1
2026-06-05,猫眼,1055,147,40,46,243.5
2026-06-05,法式精修,3323,328,87,100,327.9
2026-06-05,纯色,898,122,32,43,96.1
2026-06-05,穿戴甲,3766,606,162,150,122.2
2026-06-05,手绘油画,2360,259,64,77,456.1
2026-06-06,猫眼,1673,208,48,52,235.8
2026-06-06,法式精修,4156,544,148,158,339.1
2026-06-06,纯色,1270,188,46,50,100.9
2026-06-06,穿戴甲,4877,757,198,157,120.2
2026-06-06,手绘油画,2911,250,66,85,435.2
2026-06-07,猫眼,1504,173,46,48,220.6
2026-06-07,法式精修,4430,570,141,170,327.4
2026-06-07,纯色,1395,227,54,53,98.2
2026-06-07,穿戴甲,3789,590,140,167,106.2
2026-06-07,手绘油画,3152,378,102,117,479.2
